neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Lincoln Square,25 West 64th Street,5E,10023,0,1,0,2500,0,CO_OP,0,t,f,,0.00,2025-06-01,2025-04-01,https://streeteasy.com/building/25-west-64-street-new_york/rental/4697944
Stuyvesant Heights,1100 Myrtle Avenue,1505,11206,0,1,0,3129,0,RENTAL,0,f,t,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/the-mc/1505
Astoria,30-18 14th Street,30,11102,2,2,0,4000,0,RENTAL,0,f,t,,0.00,2025-04-15,2025-04-01,https://streeteasy.com/building/30_18-14-street-astoria/30
Stuyvesant Heights,1100 Myrtle Avenue,1919,11206,0,1,0,3129,0,RENTAL,0,f,t,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/the-mc/1919
Weeksville,1712 President Street,1,11213,3,1,0,3600,0,TWOFAMILY,0,f,t,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/1712-president-street-brooklyn/1
Gramercy Park,349 East 19th Street,2C,10003,4,4,1,37000,0,TWOFAMILY,3000,f,t,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/349-east-19-street-new_york/2c
Fort Hamilton,8713 Third Avenue,1,11209,2,1,0,2299,0,MIXED_USE,0,f,f,,0.00,2025-04-15,2025-04-01,https://streeteasy.com/building/8713-3-avenue-brooklyn/1
Flatbush,1612 New York Avenue,2B,11210,1,1,0,2499,0,RENTAL,0,f,t,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/1612-new-york-avenue-brooklyn/2b
West Village,353 6th Avenue,2B,10014,2,2,0,20000,0,TOWNHOUSE,1000,t,t,,0.00,2025-04-09,2025-04-01,https://streeteasy.com/building/353-6-avenue-new_york/2b
Bellerose,246-01 Jamaica Avenue,2A,11426,2,1,0,2550,0,MIXED_USE,600,f,f,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/246_01-jamaica-avenue-bellerose/2a
North Corona,107-13 Northern Boulevard,2FL,11368,4,1,0,3700,0,MIXED_USE,1000,f,f,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/107_13-northern-boulevard-corona/2fl
Bellerose,246-01 Jamaica Avenue,2B,11426,2,1,0,2550,0,MIXED_USE,600,f,f,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/246_01-jamaica-avenue-bellerose/2b
Bay Terrace,215-26 23rd Avenue,A1,11360,2,1,0,2800,0,TWOFAMILY,0,f,f,,0.00,2025-04-15,2025-04-01,https://streeteasy.com/building/215_26-23-avenue-bayside/a1
Bushwick,1357 Hancock Street,1L,11237,3,1,0,3250,0,RENTAL,0,f,f,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/1357-hancock-street-brooklyn/1l
Bay Ridge,640 79th Street,2,11209,2,1,0,3100,0,TWOFAMILY,1500,f,f,,0.00,2025-03-31,2025-04-01,https://streeteasy.com/building/640-79-street-brooklyn/2
Greenwood,895 4th Avenue,3B,11232,2,2,0,4195,0,MIXED_USE,0,f,t,,0.00,2025-06-01,2025-04-01,https://streeteasy.com/building/895-4-avenue-brooklyn/3b
Greenwood,208 31st Street,2,11232,1,1,0,2350,0,THREEFAMILY,0,f,f,,0.00,2025-03-21,2025-04-01,https://streeteasy.com/building/208-31-street-brooklyn/2
Bushwick,239 Starr Street,2B,11237,3,1,0,5800,0,TWOFAMILY,1000,t,t,,0.00,2025-04-14,2025-04-01,https://streeteasy.com/building/239-starr-street-brooklyn/2b
Bushwick,1094 Madison Street,2A,11221,1,1,0,3000,0,CONDO,0,t,f,,0.00,2025-04-01,2025-04-01,https://streeteasy.com/building/1094-madison-street-brooklyn/2a
