neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Lincoln Square,200 West 60th Street,17B,10023,1,1,0,6750,0,RENTAL,0,f,f,,0.00,2025-08-14,2025-08-01,https://streeteasy.com/building/200w60-200-west-60th-street-new_york/17b
Lincoln Square,75 West End Avenue,C16A,10023,2,2,0,7100,0,RENTAL,0,f,f,,0.00,2025-08-14,2025-08-01,https://streeteasy.com/building/75-west-end-avenue-new_york/c16a
The Heights,55 Grace Street,1,07307,3,2,0,2800,0,HOUSE,1200,f,f,,0.00,2025-07-31,2025-08-01,https://streeteasy.com/building/55-grace-street-jersey_city/1
Murray Hill,114 East 37th Street,4R,10016,1,1,0,4650,0,RENTAL,0,f,f,,0.00,2025-07-31,2025-08-01,https://streeteasy.com/building/114-east-37-street-new_york/4r
Prospect Lefferts Gardens,1930 Bedford Avenue,7H,11225,2,1,0,3250,0,HYBRID,0,f,f,,0.00,2025-08-07,2025-08-01,https://streeteasy.com/building/1930-bedford-avenue-brooklyn/7h
East Village,527 East 12th Street,A2,10009,1,1,0,4200,0,CO_OP,0,t,f,,0.00,2025-07-31,2025-08-01,https://streeteasy.com/building/527-east-12-street-new_york/a2
Williamsburg,120 South Second Street,3A,11249,4,1,0,8700,0,CONDO,0,f,f,,0.00,2025-09-01,2025-08-01,https://streeteasy.com/building/120-south-2-street-brooklyn/3a
Journal Square,39 High Street,204,07306,0,1,0,2385,0,RENTAL,0,f,f,,0.00,2025-10-07,2025-08-01,https://streeteasy.com/building/39-high-street-jersey_city/204
Murray Hill,121 East 37th Street,4B,10016,1,1,0,4700,0,RENTAL,0,f,f,,0.00,2025-09-03,2025-08-01,https://streeteasy.com/building/121-east-37-street-new_york/4b
Chelsea,140 West 23rd Street,PHD,10011,2,2,0,11000,0,CONDO,0,f,f,,0.00,2025-08-15,2025-08-01,https://streeteasy.com/building/136-west-23-street-new_york/rental/4794032
Yorkville,530 East 89th Street,6J,10128,0,1,0,2900,0,RENTAL,0,f,f,,0.00,2025-07-31,2025-08-01,https://streeteasy.com/building/530-east-89-street-new_york/6j
Bushwick,31 Park Street,2,11206,3,2,0,3700,0,THREEFAMILY,0,f,f,,0.00,2025-07-31,2025-08-01,https://streeteasy.com/building/31-park-street-brooklyn/2
Chelsea,198 8th Avenue,4E,10011,2,1,0,6200,0,RENTAL,0,f,f,,0.00,2025-07-31,2025-08-01,https://streeteasy.com/building/198-8-avenue-new_york/4e
East Flatbush,862 East 35th Street,4,11210,3,2,0,3500,0,RENTAL,1150,f,f,,0.00,2025-09-01,2025-08-01,https://streeteasy.com/building/862-east-35-street-brooklyn/4
Red Hook,199 Conover Street,2A,11231,2,2,0,9000,0,CONDO,1321,t,f,,0.00,2025-09-01,2025-08-01,https://streeteasy.com/building/the-conover/2a
