neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Yorkville,225 East 95th Street,D28L,10128,0,1,0,3941,0,RENTAL,419,f,f,,0.00,2025-10-24,2025-12-01,https://streeteasy.com/building/normandie-court/d28l
Yorkville,225 East 95th Street,A19B,10128,1,1,0,4240,0,RENTAL,563,f,f,,0.00,2025-12-14,2025-12-01,https://streeteasy.com/building/normandie-court/a19b
Upper West Side,814 Amsterdam Avenue,7,10025,1,1,0,4595,4340,RENTAL,0,f,f,18,1.00,2025-11-30,2025-12-01,https://streeteasy.com/building/814-amsterdam-avenue-new_york/7
Bushwick,1274 Jefferson Avenue,GARDEN,11221,5,2,0,5999,0,THREEFAMILY,1600,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/1274-jefferson-avenue-brooklyn/garden
Fort Hamilton,155 87th Street,4,11209,1,1,0,1950,0,HOUSE,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/155-87-street-brooklyn/4
Flushing,132-18 41st Road,3B,11355,2,2,0,3100,0,RENTAL,850,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/132_18-41-road-flushing/3b
Bushwick,1274 Jefferson Avenue,8,11221,4,2,0,4499,0,THREEFAMILY,1200,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/1274-jefferson-avenue-brooklyn/8
Kingsbridge Heights,147 West 230th Street,5C,10463,1,1,0,2150,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/147-west-230-street-bronx/5c
Lenox Hill,1409 2nd Avenue,4AD,10021,2,2,0,4500,0,RENTAL,0,f,f,,0.00,2026-01-01,2025-12-01,https://streeteasy.com/building/1409-2-avenue-new_york/4ad
East Village,220 Avenue B,4W,10009,2,1,1,4600,0,MIXED_USE,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/220-avenue-b-new_york/4w
Bedford-Stuyvesant,68 Kosciuszko Street,2C,11205,0,1,0,2795,0,TWOFAMILY,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/68-kosciuszko-street-brooklyn/2c
Stuyvesant Heights,885 Dekalb Avenue,301,11221,1,1,0,3100,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/885-dekalb-avenue-brooklyn/301
Murray Hill,325 East 41st Street,111,10017,1,1,0,4250,0,CO_OP,0,f,f,,0.00,2026-01-01,2025-12-01,https://streeteasy.com/building/325-east-41-street-new_york/111
Manhattanville,3333E Broadway,C5J,10031,0,1,0,2675,2452,RENTAL,0,f,f,12,1.00,2025-11-30,2025-12-01,https://streeteasy.com/building/3333e-broadway-manhattanville/c5j
McGinley Square,200 Monticello Avenue,5064,07304,2,1,0,2750,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/200-monticello/5064
McGinley Square,200 Monticello Avenue,3306,07304,2,1,0,2650,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/200-monticello/3306
McGinley Square,200 Monticello Avenue,4306,07304,2,1,0,2600,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/200-monticello/4306
McGinley Square,55 Jordan Avenue,903,07306,1,1,0,2250,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/903
McGinley Square,55 Jordan Avenue,2149,07306,0,1,0,2200,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/2149
McGinley Square,55 Jordan Avenue,9111,07306,0,1,0,2100,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/9111
McGinley Square,55 Jordan Avenue,9211,07306,0,1,0,2050,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/9211
McGinley Square,55 Jordan Avenue,1506,07306,1,1,0,2550,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/1506
McGinley Square,55 Jordan Avenue,9514,07306,1,1,0,2400,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/9514
Manhattanville,3333C Broadway,E12E,10031,2,1,0,3395,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/3333c-broadway-manhattanville/e12e
Pelham Bay,1890 Pelham Parkway South,9D,10461,1,1,0,2795,2473,RENTAL,0,f,f,13,1.50,2025-11-30,2025-12-01,https://streeteasy.com/building/pelham-residence/9d
Jamaica,109-51 142nd Street,2F,11435,3,2,0,3800,0,TWOFAMILY,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/109_51-142-street-jamaica/2f
Yorkville,1735 York Avenue,E33,10128,1,1,0,5495,5190,RENTAL,0,f,f,18,1.00,2025-11-30,2025-12-01,https://streeteasy.com/building/the-serrano/e33
Astoria,31-90 29th Street,4U,11106,0,1,0,3295,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/amara-31_90-29th-street-astoria_/4u
East Harlem,311 East 105th Street,4B,10029,1,1,0,2250,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/311-east-105-street-new_york/4b
Bedford-Stuyvesant,333 Tompkins Avenue,PH2,11216,4,3,1,8250,0,MIXED_USE,2400,f,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/333-tompkins-avenue-brooklyn/ph2
Astoria,31-90 29th Street,5S,11106,1,1,0,4150,3955,RENTAL,0,f,f,16,0.75,2025-11-30,2025-12-01,https://streeteasy.com/building/amara-31_90-29th-street-astoria_/5s
McGinley Square,55 Jordan Avenue,7022,07306,2,1,0,2600,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/7022
McGinley Square,55 Jordan Avenue,8409,07306,2,1,0,2700,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/55-jordan-avenue-jersey_city/8409
Williamsburg,630 Grand Street,1F,11211,0,1,0,4500,3750,RENTAL,0,f,f,18,3.00,2025-11-30,2025-12-01,https://streeteasy.com/building/630-grand-street-brooklyn/1f
Astoria,30-82 37th Street,1F,11103,1,1,0,2300,0,RENTAL,0,f,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/30_82-37-street-astoria/1f
Woodside,46-10 70th Street,611,11377,0,1,0,2650,2297,RENTAL,0,f,f,12,1.60,2025-11-30,2025-12-01,https://streeteasy.com/building/46_10-70-street-woodside/611
Bayonne,144 West 30th Street,2,07002,2,1,0,2800,0,HOUSE,1025,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/144-west-30-street-bayonne/2
Elmhurst,90-02 Queens Boulevard,632,11373,2,1,0,3150,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/lofts-at-qb/632
Elmhurst,90-02 Queens Boulevard,403,11373,0,1,0,2600,0,RENTAL,800,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/lofts-at-qb/403
Crown Heights,836 Bergen Street,217,11238,1,1,0,3650,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/836-bergen-street-brooklyn/217
Elmhurst,90-02 Queens Boulevard,602,11373,3,1,0,3600,0,RENTAL,1200,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/lofts-at-qb/602
Flatbush,1457 Flatbush Avenue,508,11210,2,1,0,3100,2906,RENTAL,0,f,f,16,1.00,2025-12-01,2025-12-01,https://streeteasy.com/building/the-junction/508
Ditmars-Steinway,23-11 31st Street,4F,11105,1,1,0,2470,0,RENTAL,0,f,f,,0.00,2026-01-01,2025-12-01,https://streeteasy.com/building/23_11-31-street-astoria/4f
Woodside,46-09 69th Street,508,11377,2,1,0,3500,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/46_09-69-street-woodside/508
Stuyvesant Heights,855 De Kalb Avenue,305,11221,2,1,0,2900,0,RENTAL,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/855-de-kalb-avenue-brooklyn/305
Ridgewood,16-80 Madison Street,407A,11385,2,1,1,3667,0,RENTAL,0,f,f,,0.00,2025-11-28,2025-12-01,https://streeteasy.com/building/the-ridgewood-theatre/407a
Bedford-Stuyvesant,276 Nostrand Avenue,2P,11205,3,1,0,4250,4014,RENTAL,0,f,f,18,1.00,2025-11-28,2025-12-01,https://streeteasy.com/building/276-nostrand-avenue-brooklyn/2p
Bushwick,338 Evergreen Avenue,114,11221,0,1,0,2600,2383,RENTAL,0,f,f,12,1.00,2025-11-28,2025-12-01,https://streeteasy.com/building/338-evergreen-avenue-brooklyn/114
Flatbush,815 Flatbush Avenue,503,11226,2,1,0,3400,3188,RENTAL,0,f,f,16,1.00,2025-12-01,2025-12-01,https://streeteasy.com/building/flatbush-815/503
Astoria,28-36 49th Street,B,11103,2,1,0,3250,0,TWOFAMILY,0,f,f,,0.00,2025-11-30,2025-12-01,https://streeteasy.com/building/28_36-49-street-astoria/b
Astoria,32-06 30th Avenue,5,11102,3,1,0,3200,0,MIXED_USE,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/32_06-30-avenue-astoria/5
West Side,211 Duncan Avenue,,07306,3,1,0,2000,0,HOUSE,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/rental/4918521
Ditmars-Steinway,20-14 38th Street,2,11105,3,2,0,3800,0,THREEFAMILY,0,f,f,,0.00,2026-02-01,2025-12-01,https://streeteasy.com/building/20_14-38-street-astoria/2
Prospect Lefferts Gardens,227 Clarkson Avenue,2F,11226,1,1,0,3250,2500,RENTAL,0,f,f,13,3.00,2025-11-30,2025-12-01,https://streeteasy.com/building/227-clarkson-avenue-brooklyn/2f
Astoria,30-86 42nd Street,1,11103,1,1,0,2500,0,TWOFAMILY,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/30_86-42-street-astoria/1
Ridgewood,1920 Harman Street,116,11385,0,1,0,2300,0,RENTAL,750,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/1920-harman-street-ridgewood/116
South Harlem,13 West 116th Street,4B,10026,0,1,0,5695,0,CONDO,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/patagonia-condominium/4b
Astoria,28-36 49th Street,A,11103,3,2,0,4250,0,TWOFAMILY,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/28_36-49-street-astoria/a
Prospect Heights,498 Bergen Street,TWSE,11217,3,2,0,5500,0,TWOFAMILY,0,f,f,,0.00,2026-01-01,2025-12-01,https://streeteasy.com/building/498-bergen-street-brooklyn/twse
Astoria,30-64 33rd Street,1,11102,2,1,0,3100,0,RENTAL,0,f,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/30_64-33-street-astoria/1
Crown Heights,1246 President Street,3,11225,2,1,0,3100,0,TWOFAMILY,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/1246-president-street-brooklyn/3
West Village,51 Leroy Street,4A,10014,1,1,0,4110,0,RENTAL,420,t,f,,0.00,2025-12-17,2025-12-01,https://streeteasy.com/building/51-leroy-street-new_york/4a
Financial District,63 Wall Street,513,10005,1,1,0,3520,0,RENTAL,609,t,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/63-wall-street-new_york/513
Crown Heights,979 Saint John's Place,3,11213,3,1,0,4900,4523,TWOFAMILY,0,f,f,13,1.00,2025-12-01,2025-12-01,https://streeteasy.com/building/979-st-johns-place-brooklyn/3
Central Harlem,235 West 146th Street,7A,10039,2,1,0,2695,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/235-west-146-street-new_york/7a
Riverdale,3660 Waldo Avenue,J1,10463,4,2,0,3700,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/3660-waldo-avenue-bronx/j1
Hamilton Heights,611 West 148th Street,56,10031,2,1,0,3200,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/611-west-148-street-new_york/56
Midwood,1144 East 29th Street,2,11210,4,2,0,6000,0,TWOFAMILY,3000,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/1144-east-29-street-brooklyn/2
Central Harlem,2367 Frederick Douglass Boulevard,5AA,10027,2,1,0,3895,0,RENTAL,875,f,f,,0.00,2026-01-01,2025-12-01,https://streeteasy.com/building/2367-frederick-douglass-blvd-new_york/5aa
Financial District,95 Wall Street,1215,10005,0,1,0,3590,0,RENTAL,487,f,f,,0.00,2026-01-30,2025-12-01,https://streeteasy.com/building/95-wall-street-new_york/1215
West Village,88 Horatio Street,1C,10014,0,1,0,3100,0,CO_OP,0,t,f,,0.00,2026-01-01,2025-12-01,https://streeteasy.com/building/88-horatio-street-new_york/1c
Hudson Yards,346 West 36th Street,3A,10018,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-12-01,2025-12-01,https://streeteasy.com/building/346-west-36-street-new_york/3a
Astoria,28-22 47th Street,1M,11103,2,1,0,2950,0,RENTAL,1100,f,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/28_22-47-street-astoria/1m
Hunters Point,5-09 48th Avenue,2J,11101,0,1,0,3200,0,CONDO,0,f,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/5th-street-lofts-5sl/2j
Greenwich Village,25 West 13th Street,4KN,10011,0,1,0,3995,0,CO_OP,0,f,f,,0.00,2025-11-29,2025-12-01,https://streeteasy.com/building/25-west-13-street-new_york/4kn
Murray Hill,7 Park Avenue,6E,10016,0,1,0,2900,0,CO_OP,0,f,f,,0.00,2025-12-15,2025-12-01,https://streeteasy.com/building/7-park-avenue-new_york/6e
