neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Bayonne,425 Avenue C,503,07002,2,2,0,2908,0,UNKNOWN,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/425-avenue-c-bayonne/503
Jersey City,84 Fulton Avenue,,07305,2,1,0,1888,0,MULTIFAMILY,700,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/rental/4643493
Fort Lee,825 Palisade Avenue,C1,07024,2,2,0,3000,0,RENTAL,1200,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/825-palisade-avenue-fort_lee/c1
Briarwood,139-21 85th Drive,3B,11435,1,1,0,1995,0,CO_OP,750,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/the-glenwood/3b
Hoboken,72 Jackson Street,5,07030,2,1,0,3200,0,UNKNOWN,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/72-jackson-street-hoboken/5
Forest Hills,103-19 68th Road,1J,11375,2,2,0,3350,0,RENTAL,1150,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/103_19-68-road-forest_hills/1j
Lower East Side,575 Grand Street,202,10002,2,1,0,5000,0,CO_OP,1000,t,f,,0.00,2025-02-07,2025-02-02,https://streeteasy.com/building/east-river-coop-575-grand-street-new_york/202
Fulton/Seaport,85 John Street,4F,10038,1,2,0,5895,0,RENTAL,900,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/85-john-street-new_york/4f
Long Island City,30-02 39th Avenue,A103,11101,1,1,0,4194,0,RENTAL,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/arc-30_02-39-avenue-queens/a103
Downtown Brooklyn,86 Fleet Place,14B,11201,0,1,0,3322,0,RENTAL,469,f,t,,0.00,2025-03-09,2025-02-02,https://streeteasy.com/building/86-fleet-place-brooklyn/14b
Downtown Brooklyn,86 Fleet Place,16Q,11201,1,1,0,4425,0,RENTAL,731,f,t,,0.00,2025-03-10,2025-02-02,https://streeteasy.com/building/86-fleet-place-brooklyn/16q
Upper West Side,101 West 90th Street,12C,10024,2,2,0,7005,0,RENTAL,908,f,t,,0.00,2025-02-12,2025-02-02,https://streeteasy.com/building/james-marquis/12c
Yorkville,201 East 86th Street,11CC,10028,3,1,1,8795,0,RENTAL,0,f,t,,0.00,2025-04-01,2025-02-02,https://streeteasy.com/building/the-colorado/11cc
Yorkville,201 East 86th Street,17CC,10028,3,2,1,9350,0,RENTAL,0,f,t,,0.00,2025-03-08,2025-02-02,https://streeteasy.com/building/the-colorado/17cc
Bushwick,1296 Myrtle Avenue,2C,11221,1,1,0,3200,0,HYBRID,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/1296-myrtle-avenue-brooklyn/2c
Astoria,23-27 31st Road,202,11106,1,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/23_27-31-road-astoria/202
Bushwick,1473 Bushwick Avenue,3L,11207,3,2,0,3399,0,RENTAL,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/1473-bushwick-avenue-brooklyn/3l
Chelsea,178 7th Avenue,C2,10011,0,1,0,3000,0,RENTAL,0,f,f,,0.00,2025-03-04,2025-02-02,https://streeteasy.com/building/178-7-avenue-new_york/c2
East Village,118 East 7th Street,1E,10009,2,1,0,5795,0,RENTAL,0,f,t,,0.00,2025-04-01,2025-02-02,https://streeteasy.com/building/118-east-7-street-new_york/1e
Chelsea,342 9th Avenue,6C,10001,0,1,0,2850,0,RENTAL,0,f,t,,0.00,2025-02-07,2025-02-02,https://streeteasy.com/building/342-9-avenue-new_york/6c
Elmhurst,45-15 82nd Street,6,11373,2,2,0,3000,0,CONDO,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/45_15-82-street-elmhurst/6
Astoria,25-86 43rd Street,3,11103,3,2,0,4000,0,THREEFAMILY,1200,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/25_86-43-street-astoria/3
Murray Hill,108 East 38th Street,700,10016,0,1,0,3100,0,RENTAL,0,f,t,,0.00,2025-01-27,2025-02-02,https://streeteasy.com/building/towne-house/700
Greenpoint,157 Huron Street,2R,11222,2,1,0,3200,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/157-huron-street-brooklyn/2r
Upper West Side,127 West 96th Street,8E,10025,1,1,0,3685,0,CO_OP,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/127-west-96-street-new_york/8e
Elmhurst,51-04 Hillyer Street,3FL,11373,2,1,0,2500,0,THREEFAMILY,1000,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/51_04-hillyer-street-elmhurst/3fl
Midtown,271 West 47th Street,35A,10036,1,1,0,5492,4977,RENTAL,0,f,t,16,1.50,2025-03-10,2025-02-02,https://streeteasy.com/building/the-biltmore/35a
Midtown,271 West 47th Street,22F,10036,2,2,0,6975,6539,RENTAL,0,f,t,16,1.00,2025-02-15,2025-02-02,https://streeteasy.com/building/the-biltmore/22f
Turtle Bay,245 East 44th Street,19F,10017,0,1,0,3695,0,RENTAL,0,f,t,,0.00,2025-03-03,2025-02-02,https://streeteasy.com/building/falcon-tower/19f
Midtown,271 West 47th Street,10B,10036,1,1,0,5565,5043,RENTAL,0,f,t,16,1.50,2025-02-15,2025-02-02,https://streeteasy.com/building/the-biltmore/10b
Long Island City,29-22 Northern Boulevard,612,11101,2,1,0,3917,0,RENTAL,529,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/altalic-29_22-northern-boulevard-long_island_city/612
Bedford-Stuyvesant,104 Pulaski Street,5,11206,2,1,0,2999,0,RENTAL,1000,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/104-pulaski-street-brooklyn/5
Hell's Kitchen,360 West 43rd Street,S7B,10036,1,1,0,4095,3803,RENTAL,0,f,t,14,1.00,2025-02-02,2025-02-02,https://streeteasy.com/building/360-west-43-street-new_york/s7b
Forest Hills,109-19 72nd Road,2 H,11375,2,2,0,4150,0,CONDO,1720,f,f,,0.00,2025-02-15,2025-02-02,https://streeteasy.com/building/the-sunrise-forest-hills/2-h
Ditmars-Steinway,21-09 48th Street,1B,11105,3,3,0,4995,0,TWOFAMILY,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/21_09-48-street-astoria/1b
Astoria,49-02 30th Avenue,2,11377,1,1,0,2500,0,TWOFAMILY,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/49_02-30-avenue-woodside/rental/4643647
Morningside Heights,517 West 111st Street,4T,10025,4,1,0,5000,4500,RENTAL,0,f,f,10,1.00,2025-02-05,2025-02-02,https://streeteasy.com/building/517-west-111-street-new_york/4t
Morningside Heights,511 West 113rd Street,2O,10025,4,1,0,5500,4714,RENTAL,0,f,t,7,1.00,2025-02-05,2025-02-02,https://streeteasy.com/building/511-west-113-street-new_york/2o
Ditmars-Steinway,22-28 Steinway Street,3,11105,3,1,1,3500,0,THREEFAMILY,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/22_28-steinway-street-astoria/rental/4643637
Ocean Hill,286 Sumpter Street,3,11233,2,1,0,3000,0,FOURFAMILY,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/286-sumpter-street-brooklyn/3
Ditmars-Steinway,19-06 Ditmars Boulevard,4,11105,1,1,0,2000,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/19_06-ditmars-boulevard-astoria/4
Crown Heights,1539 Pacific Street,3B,11213,0,1,0,1750,0,RENTAL,500,f,f,,0.00,2025-03-01,2025-02-02,https://streeteasy.com/building/1539-pacific-street-brooklyn/3b
Lincoln Square,205 West End Avenue,24-G,10023,0,1,0,3700,0,CO_OP,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/lincoln-towers-205-west-end-avenue-new_york/24g
Crown Heights,560 Lincoln Place,A,11238,1,1,0,2479,0,RENTAL,0,f,f,,0.00,2025-02-05,2025-02-02,https://streeteasy.com/building/560-lincoln-place-brooklyn/a
Lenox Hill,326 East 66th Street,10,10065,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-02-15,2025-02-02,https://streeteasy.com/building/326-east-66-street-new_york/10
Bushwick,1209 Putnam Avenue,2R,11221,1,1,0,2850,0,TWOFAMILY,0,f,f,,0.00,2025-02-16,2025-02-02,https://streeteasy.com/building/1209-putnam-avenue-brooklyn/2r
Gramercy Park,338 East 15th Street,7I,10003,1,1,0,3050,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/338-east-15-street-new_york/7i
Upper West Side,37 West 72nd Street,15C,10023,0,1,0,3100,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/37-west-72-street-new_york/15c
East Village,420 East 9th Street,10,10009,2,1,0,5995,0,RENTAL,0,f,t,,0.00,2025-04-01,2025-02-02,https://streeteasy.com/building/420-east-9-street-new_york/10
Gowanus,237 11th Street,90C,11215,2,2,0,6498,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/237-11-street-brooklyn/90c
Lenox Hill,325 East 77th Street,2C,10075,2,1,0,4900,0,CO_OP,0,f,f,,0.00,2025-02-15,2025-02-02,https://streeteasy.com/building/325-east-77-street-new_york/2c
Gowanus,237 11th Street,100E,11215,2,2,0,5102,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/237-11-street-brooklyn/100e
Ditmars-Steinway,18-26 21st Drive,1,11105,3,3,0,5500,0,THREEFAMILY,1200,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/18_26-21-drive-astoria/1
Park Slope,196 8th Avenue,GARDEN,11215,1,1,0,3100,0,RENTAL,0,f,f,,0.00,2025-02-15,2025-02-02,https://streeteasy.com/building/196-8-avenue-brooklyn/garden
Morris Park,1130 Pelham Parkway South,04B,10461,0,1,0,2281,1901,RENTAL,454,f,t,12,2.00,2024-08-29,2025-02-02,https://streeteasy.com/building/pelham-place/04b
Nolita,200 Mott Street,5,10012,1,1,0,3850,0,RENTAL,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/200-mott-street-new_york/5
Brooklyn Heights,180 Montague Street,29D,11201,1,1,0,5044,0,RENTAL,706,f,t,,0.00,2025-03-27,2025-02-02,https://streeteasy.com/building/180-montague/29d
Manhattan Valley,3 West 103rd Street,1D,10025,4,1,1,5995,0,RENTAL,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/3-west-103-street-new_york/1d
Upper West Side,305 Riverside Drive,8C,10025,3,1,0,5995,0,RENTAL,1200,f,f,,0.00,2025-03-01,2025-02-02,https://streeteasy.com/building/305-riverside-drive-new_york/8c
Williamsburg,293 Graham Avenue,3F,11211,2,1,0,3750,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-02-02,https://streeteasy.com/building/293-graham-avenue-brooklyn/3f
Gramercy Park,295 Park Avenue South,5S,10010,0,1,0,3995,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-02-02,https://streeteasy.com/building/park-23/5s
Jersey City,187 Woodlawn Avenue,1,07305,3,1,0,2500,0,HOUSE,1000,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/187-woodlawn-avenue-jersey_city/1
Bushwick,383 Weirfield Street,1001,11237,2,1,0,3550,0,TWOFAMILY,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/383-weirfield-street-brooklyn/1001
Astoria,35-40 11th Street,2,11106,1,1,0,2199,0,RENTAL,700,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/35_40-11-street-astoria/2
Yorkville,345 East 92nd Street,1D,10128,0,1,0,2750,0,RENTAL,0,f,t,,0.00,2025-02-28,2025-02-02,https://streeteasy.com/building/345-east-92-street-new_york/1d
Inwood,1795 Riverside Drive,2E,10034,2,1,0,3350,0,RENTAL,0,f,f,,0.00,2025-03-03,2025-02-02,https://streeteasy.com/building/1795-riverside-drive-new_york/2e
Crown Heights,931 Carroll Street,734,11225,3,2,0,5000,4138,RENTAL,0,f,t,14,2.50,2025-02-01,2025-02-02,https://streeteasy.com/building/botanica-931-carroll-street-brooklyn/rental/4643608
Flushing,131-03 40th Road,PENTHOUSE3P,11354,1,1,0,2950,0,CONDO,700,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/grand-two/penthouse3p
Woodside,47-28 59th Place,1,11377,2,1,0,2700,0,THREEFAMILY,900,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/47_28-59-place-woodside/1
Kew Gardens,120-32 Queens Boulevard,405,11415,2,1,0,2525,0,MIXED_USE,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/120_32-queens-boulevard-kew_gardens/405
Midwood,1500 Ocean Parkway,4F,11230,2,1,0,2300,0,CO_OP,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/1500-ocean-parkway-brooklyn/4f
Jersey City,18 Skyline Drive,4,07305,3,1,0,2100,0,HOUSE,1000,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/18-skyline-drive-jersey_city/4
Lower East Side,55 Suffolk Street,2013,10002,1,1,0,6875,0,RENTAL,0,f,t,,0.00,2025-02-07,2025-02-02,https://streeteasy.com/building/the-suffolk/2013
Kips Bay,344 3rd Avenue,22H,10010,1,1,0,4195,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-02-02,https://streeteasy.com/building/manhattan-promenade/22h
Flushing,131-03 40th Road,9S,11354,1,1,0,3250,0,CONDO,800,f,f,,0.00,2025-03-01,2025-02-02,https://streeteasy.com/building/grand-two/9s
Yorkville,1503 3rd Avenue,3C,10028,0,1,0,2350,0,RENTAL,0,f,f,,0.00,2025-02-07,2025-02-02,https://streeteasy.com/building/1503-3-avenue-new_york/3c
Bayside,42-40 212nd Street,D,11361,1,1,0,2450,0,UNKNOWN,750,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/42_40-212-street-bayside/d
Bayside,210-02 43rd Avenue,D,11361,1,1,0,2450,0,UNKNOWN,750,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/210_02-43-avenue-bayside/d
Upper West Side,309 West 72nd Street,4C,10023,0,1,0,2495,0,RENTAL,0,f,f,,0.00,2025-02-15,2025-02-02,https://streeteasy.com/building/the-diller-residence/4c
Stuyvesant Heights,204 Malcolm X Boulevard,402,11221,1,1,0,4000,0,RENTAL,0,f,t,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/204-mxb/402
Bushwick,1288 Myrtle Avenue,1D,11221,1,1,0,3100,0,RENTAL,0,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/1288-myrtle-avenue-brooklyn/1d
Sutton Place,250 East 54th Street,21C,10022,1,1,1,5500,0,CONDO,878,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/the-mondrian/21c
Turtle Bay,361 East 50th Street,PH-I,10022,5,5,0,16500,0,RENTAL,1400,f,t,,0.00,2025-03-10,2025-02-02,https://streeteasy.com/building/361-east-50th-street-new_york/phi
Bayonne,214 Broadway,,07002,2,1,0,1595,0,UNKNOWN,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/rental/4643502
North Bergen,8200 John F Kennedy Boulevard,V,07047,2,2,0,2500,0,UNKNOWN,1950,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/8200-john-f-kennedy-boulevard-east-north_bergen/v
The Heights,19 Hague Street,1,07307,2,1,0,1400,0,HOUSE,900,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/19-hague-street-jersey_city/1
Bayonne,17 Linden Street,,07002,2,1,0,2200,0,UNKNOWN,1100,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/rental/4643501
Edgewater,4 Leary Lane,B,07020,3,3,0,6900,0,HOUSE,2408,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/4-leary-lane-edgewater/b
West Side,204 Duncan Avenue,2,07306,3,2,0,2500,0,UNKNOWN,1000,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/204-duncan-avenue-jersey_city/2
Waterfront,50 Regent Street,1007,07302,1,1,0,3510,0,RENTAL,667,f,t,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/50-regent-street-jersey_city/1007
Chelsea,120 West 21st Street,811,10011,1,1,0,5919,0,RENTAL,633,f,t,,0.00,2025-04-02,2025-02-02,https://streeteasy.com/building/21-chelsea/811
Financial District,75 Wall Street,35J,10005,0,1,0,3600,0,CONDO,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/75-wall-street-new_york/35j
Prospect Park South,55 Parade Place,A1,11226,0,1,0,1999,0,CO_OP,700,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/55-parade-place-brooklyn/a1
Ditmars-Steinway,20-31 19th Street,2H,11105,2,1,0,2600,0,UNKNOWN,700,f,t,,0.00,2025-01-23,2025-02-02,https://streeteasy.com/building/20_31-19-street-astoria/2h
Forest Hills,111-38 76th Drive,6C,11375,2,2,0,2900,0,THREEFAMILY,850,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/111_38-76-drive-forest_hills/6c
Fresh Meadows,182-04 64th Avenue,2A,11365,2,1,0,2695,0,HOUSE,850,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/182_04-64-avenue-fresh_meadows/2a
Flushing,143-06 Barclay Avenue,2G,11355,2,1,0,2600,0,RENTAL,0,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/143_06-barclay-avenue-flushing/2g
Kew Gardens,83-80 118th Street,2R,11415,1,1,0,2350,0,CO_OP,0,f,t,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/83_80-118-street-kew_gardens/2r
Briarwood,139-21 85th Drive,5F,11435,2,1,0,2350,0,CO_OP,850,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/the-glenwood/5f
Rego Park,64-09 Booth Street,6G,11374,1,1,0,2250,0,THREEFAMILY,750,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/64_09-booth-street-rego_park/6g
Fresh Meadows,182-04 64th Avenue,2C,11365,1,1,0,2250,0,HOUSE,750,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/182_04-64-avenue-fresh_meadows/2c
Jamaica Estates,182-66 Wexford Terrace,2B,11432,1,1,0,2100,0,THREEFAMILY,750,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/182_66-wexford-terrace-jamaica/2b
Briarwood,139-21 85th Drive,3F,11435,0,1,0,1700,0,CO_OP,600,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/the-glenwood/3f
Flushing,143-06 Barclay Avenue,6H,11355,0,1,0,1675,0,RENTAL,600,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/143_06-barclay-avenue-flushing/6h
Williamsburg,137 Frost Street,2D,11211,0,1,0,3200,0,MIXED_USE,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/137-frost-street-brooklyn/2d
Riverdale,3777 Independence Avenue,732,10463,2,2,0,4195,3872,CO_OP,0,f,t,13,1.00,2025-02-15,2025-02-02,https://streeteasy.com/building/3777-independence-avenue-bronx/732
Hell's Kitchen,500 West 43rd Street,10-G,10036,0,1,0,3095,0,CONDO,415,f,f,,0.00,2025-02-17,2025-02-02,https://streeteasy.com/building/the-strand/10g
Sunset Park,4910 6th Avenue,3,11220,1,1,0,1900,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/4910-6-avenue-brooklyn/3
Inwood,3880 9th Avenue,12S,10034,1,1,0,3950,3621,RENTAL,0,f,t,18,1.50,2025-02-01,2025-02-02,https://streeteasy.com/building/inwood-living/12s
Midtown South,445 5th Avenue,9E,10016,0,1,0,3800,0,CONDO,710,f,f,,0.00,2024-03-01,2025-02-02,https://streeteasy.com/building/445-5-avenue-new_york/9e
Bushwick,451 Evergreen Avenue,2,11221,3,1,0,3800,0,TWOFAMILY,0,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/451-evergreen-avenue-brooklyn/2
Inwood,3880 9th Avenue,3B,10034,2,2,0,4700,4308,RENTAL,0,f,t,18,1.50,2025-02-01,2025-02-02,https://streeteasy.com/building/inwood-living/3b
Williamsburg,137 Frost Street,4B,11211,2,2,0,5500,0,MIXED_USE,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/137-frost-street-brooklyn/4b
East Williamsburg,102 Thames Street,307,11237,0,1,0,4200,0,RENTAL,0,f,t,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/102-thames-street-brooklyn/307
Ridgewood,1716 Himrod Street,1R,11385,2,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-02-02,https://streeteasy.com/building/17_16-himrod-street-ridgewood/1r
East Williamsburg,102 Thames Street,305,11237,0,1,0,3400,0,RENTAL,960,f,t,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/102-thames-street-brooklyn/305
Hell's Kitchen,505 West 43rd Street,6F,10036,1,1,0,4700,0,CONDO,741,t,t,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/505-west-43rd-charlie-west/6f
Hell's Kitchen,341 West 45th Street,407,10036,0,1,0,2595,0,RENTAL,0,f,t,,0.00,2025-02-05,2025-02-02,https://streeteasy.com/building/341-west-45-street-new_york/407
Williamsburg,137 Frost Street,5C,11211,2,2,0,5000,0,MIXED_USE,0,f,f,,0.00,2025-02-01,2025-02-02,https://streeteasy.com/building/137-frost-street-brooklyn/5c
Flatbush,782 New York Avenue,2H,11203,1,1,0,3295,2883,RENTAL,0,f,t,12,1.50,2025-02-01,2025-02-02,https://streeteasy.com/building/782-new-york-ave-brooklyn/2h
Chelsea,327 West 22nd Street,2,10011,2,3,0,12000,0,CONDO,1333,f,t,,0.00,2025-04-01,2025-02-02,https://streeteasy.com/building/327-west-22-street-new_york/2
Chelsea,200 West 16th Street,3D,10011,0,1,0,3650,0,RENTAL,0,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/200-west-16-street-new_york/3d
East Village,328 East 14th Street,21,10003,2,1,0,3595,0,RENTAL,0,f,f,,0.00,2025-01-31,2025-02-02,https://streeteasy.com/building/328-east-14-street-new_york/21
West Village,756 Washington Street,9C,10014,1,1,0,5695,0,RENTAL,0,f,f,,0.00,2025-03-03,2025-02-02,https://streeteasy.com/building/the-highline/9c
Inwood,3880 9th Avenue,7K,10034,0,1,0,3125,2865,RENTAL,0,f,t,18,1.50,2025-01-31,2025-02-02,https://streeteasy.com/building/inwood-living/7k
