neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Paulus Hook,70 Greene Street,4201,07302,0,1,0,2946,0,RENTAL,505,f,f,,0.00,2026-03-20,2026-01-01,https://streeteasy.com/building/70-greene/4201
Crown Heights,22 Rogers Avenue,1B,11216,1,1,0,2850,2613,RENTAL,0,f,f,12,1.00,2026-01-01,2026-01-01,https://streeteasy.com/building/22-rogers-avenue-brooklyn/1b
Manhattanville,3333B Broadway,C25D,10031,1,1,0,2950,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/3333b-broadway-manhattanville/c25d
Crown Heights,22 Rogers Avenue,3F,11216,1,1,0,3000,0,RENTAL,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/22-rogers-avenue-brooklyn/3f
Flatbush,2201 Beverley Road,716,11226,1,1,0,3400,2720,RENTAL,0,f,f,15,3.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/716
Mott Haven,224 East 135th Street,2303N,10451,2,2,0,3450,0,RENTAL,0,f,f,,0.00,2026-02-01,2026-01-01,https://streeteasy.com/building/the-arches-nyc/2303n
Chelsea,243 West 28th Street,N-09K,10001,0,1,0,4910,0,RENTAL,0,f,f,,0.00,2026-02-28,2026-01-01,https://streeteasy.com/building/ruby-chelsea/n09k
Flatbush,2201 Beverley Road,613,11226,1,1,0,3400,2720,RENTAL,0,f,f,15,3.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/613
Flatbush,2201 Beverley Road,413,11226,1,1,0,3400,2720,RENTAL,0,f,f,15,3.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/413
Sutton Place,141 East 56th Street,8J,10022,0,1,0,3550,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/141-east-56th-street-new_york/8j
Red Hook,427 Columbia Street,2,11231,3,2,0,4200,0,THREEFAMILY,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/427-columbia-street-brooklyn/2
Mott Haven,224 East 135th Street,2302N,10451,2,2,0,3708,0,RENTAL,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/the-arches-nyc/2302n
Flatbush,2201 Beverley Road,681,11226,1,1,0,3400,2720,RENTAL,0,f,f,15,3.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/681
Flatbush,2201 Beverley Road,551,11226,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/551
Flatbush,2201 Beverley Road,350,11226,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/350
Flatbush,2201 Beverley Road,673,11226,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/673
Flatbush,2201 Beverley Road,507,11226,2,2,0,4000,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/507
Flatbush,2201 Beverley Road,541,11226,2,2,0,4000,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/541
Crown Heights,996 Carroll Street,2F,11225,3,1,1,4750,0,FOURFAMILY,0,f,f,,0.00,2026-02-01,2026-01-01,https://streeteasy.com/building/996-carroll-street-brooklyn/2f
Carnegie Hill,150 East 87th Street,3A,10128,3,1,0,5395,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/150-east-87-street-new_york/3a
Flatbush,2201 Beverley Road,244,11226,2,2,0,4000,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/bedford-square-2201-beverley-road-brooklyn/244
Hoboken,1040 Willow Avenue,3,07030,2,1,0,3000,0,MULTIFAMILY,1100,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1040-willow-avenue-hoboken/3
Woodside,46-09 69th Street,918,11377,2,1,0,3725,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/46_09-69-street-woodside/918
Ditmas Park,2016 Farragut Road,1D,11210,2,1,0,2850,0,HOUSE,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/750-east-21-street-brooklyn/1d
Mott Haven,228 East 135th Street,1512S,10451,0,1,0,2280,0,RENTAL,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/the-arches/1512s
Central Harlem,300 West 135th Street,9G,10030,3,2,0,4600,0,CONDO,1036,f,f,,0.00,2026-01-15,2026-01-01,https://streeteasy.com/building/strivers-gardens/9g
Hoboken,100 Marshall Street,403,07030,1,1,0,3000,0,UNKNOWN,750,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/100-marshall-st-hoboken/403
Mott Haven,224 East 135th Street,1411N,10451,1,1,0,2458,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/the-arches-nyc/1411n
Weeksville,1692 Pacific Street,3A,11213,2,2,0,3000,2800,MIXED_USE,0,f,f,15,1.00,2026-02-01,2026-01-01,https://streeteasy.com/building/1692-pacific-street-brooklyn/3a
Weeksville,1692 Pacific Street,1F,11213,3,1,1,3950,3703,MIXED_USE,0,f,f,16,1.00,2025-11-19,2026-01-01,https://streeteasy.com/building/1692-pacific-street-brooklyn/1f
Farragut,1489 Brooklyn Avenue,3A,11210,2,2,0,3075,0,MULTIFAMILY,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1489-brooklyn-avenue-brooklyn/3a
Flatbush,1286 New York Avenue,4B,11203,2,1,0,2850,2660,THREEFAMILY,0,f,f,15,1.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1286-new-york-avenue-brooklyn/4b
Flatbush,1010 Rogers Avenue,4B,11226,0,1,0,2250,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1010-rogers-ave-brooklyn/4b
Flatbush,986 Rogers Avenue,4E,11226,2,1,0,2975,2777,RENTAL,0,f,f,15,1.00,2025-12-31,2026-01-01,https://streeteasy.com/building/986-rogers-avenue-brooklyn/4e
Woodside,46-10 70th Street,921,11377,0,1,0,2650,2360,RENTAL,0,f,f,16,1.75,2025-12-31,2026-01-01,https://streeteasy.com/building/46_10-70-street-woodside/921
Flatbush,986 Rogers Avenue,3C,11226,1,1,0,2600,2253,RENTAL,0,f,f,15,2.00,2025-12-31,2026-01-01,https://streeteasy.com/building/986-rogers-avenue-brooklyn/3c
Woodside,46-09 69th Street,517,11377,1,1,0,2825,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/46_09-69-street-woodside/517
Flatbush,986 Rogers Avenue,2E,11226,2,1,0,2891,2721,RENTAL,0,f,f,17,1.00,2025-12-31,2026-01-01,https://streeteasy.com/building/986-rogers-avenue-brooklyn/2e
Cypress Hills,2667 Fulton Street,4D,11207,2,2,0,3150,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/the-agora/4d
Cypress Hills,2667 Fulton Street,3S,11207,2,1,0,3000,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/the-agora/3s
Cypress Hills,2667 Fulton Street,5N,11207,0,1,0,2975,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/the-agora/5n
Woodside,46-10 70th Street,911,11377,0,1,0,2650,2360,RENTAL,0,f,f,16,1.75,2025-12-31,2026-01-01,https://streeteasy.com/building/46_10-70-street-woodside/911
Ocean Hill,2246 Fulton Street,5G,11233,1,1,0,2495,0,CONDO,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/2246-fulton-street-brooklyn/5g
Ocean Hill,2246 Fulton Street,7H,11233,1,1,0,2495,0,CONDO,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/2246-fulton-street-brooklyn/7h
Ocean Hill,2246 Fulton Street,5H,11233,1,1,0,2500,0,CONDO,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/2246-fulton-street-brooklyn/5h
East Flatbush,333 Linden Boulevard,7R,11226,1,1,0,2650,0,RENTAL,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/333-linden-boulevard-brooklyn/7r
Murray Hill,591 Third Avenue,5E,10016,0,1,0,4300,0,CONDO,590,f,f,,0.00,2026-02-01,2026-01-01,https://streeteasy.com/building/the-lindley/5e
Flatbush,2605 Snyder Avenue,5C,11226,2,1,0,3000,0,RENTAL,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/2605-snyder-avenue-brooklyn/5c
Astoria,37-01 30th Avenue,5,11103,0,1,0,2100,0,RENTAL,0,f,f,,0.00,2026-01-10,2026-01-01,https://streeteasy.com/building/37_01-30-avenue-astoria/5
Murray Hill,210 East 39th Street,601,10016,1,1,0,5144,0,RENTAL,692,f,f,,0.00,2026-02-01,2026-01-01,https://streeteasy.com/building/210-east-39-street-new_york/601
Forest Hills,68-06 Clyde Street,1,11375,1,1,0,2300,0,HOUSE,0,f,f,,0.00,2026-01-15,2026-01-01,https://streeteasy.com/building/68_06-clyde-street-forest_hills/1
Midtown,150 West 56th Street,4410,10019,1,1,0,2000,0,CONDO,700,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/cityspire-condominium/4410
Hell's Kitchen,416 West 52nd Street,405,10019,1,1,0,1500,0,CONDO,700,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/416-west-52nd-street-new_york/405
Ditmars-Steinway,21-66 29th Street,3,11105,1,1,0,2500,0,TWOFAMILY,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/21_66-29-street-astoria/3
Hell's Kitchen,606 West 57th Street,1511,10019,1,1,0,5200,4713,RENTAL,0,f,f,16,1.50,2025-10-29,2026-01-01,https://streeteasy.com/building/the-max/1511
The Heights,100 Paterson Plank Road,509,07307,2,2,0,4080,0,MULTIFAMILY,1200,t,f,,0.00,2026-01-31,2026-01-01,https://streeteasy.com/building/100-paterson-plank-road-jersey_city/509
Upper West Side,110 West 79th Street,1,10024,2,2,0,6010,0,MIXED_USE,1000,t,f,,0.00,2026-01-31,2026-01-01,https://streeteasy.com/building/110-west-79-street-new_york/1
Lindenwood,149-30 81st Street,2,11414,3,2,0,3700,0,TWOFAMILY,1100,f,f,,0.00,2025-12-01,2026-01-01,https://streeteasy.com/building/149_30-81-street-howard_beach/2
Elmhurst,57-25 Van Horn Street,504,11373,0,1,0,1700,0,RENTAL,450,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/57_25-van-horn-street-elmhurst/504
Kensington,733 Ocean Parkway,7D,11230,1,1,0,2800,0,CONDO,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/arbor-733-ocean-parkway-brooklyn/7d
Upper West Side,775 Columbus Avenue,14B,10025,2,2,0,8312,0,RENTAL,1094,f,f,,0.00,2026-02-06,2026-01-01,https://streeteasy.com/building/775-columbus-avenue-new_york/14b
Hoboken,2 Constitution Court,811,07030,2,2,0,5900,0,CONDO,1200,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/2-constitution-court-hoboken/811
The Heights,85 Zabriskie Street,3B,07307,2,1,0,2350,0,MULTIFAMILY,800,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/85-zabriskie-street-jersey_city/3b
Jersey City,253 Old Bergen Road,GF,07305,1,1,0,1800,0,HOUSE,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/253-old-bergen-road-jersey_city/gf
McGinley Square,62 Vroom Street,1C,07306,2,1,0,2400,0,MULTIFAMILY,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/62-vroom-street-jersey_city/1c
Historic Downtown,217 Newark Avenue,105,07302,2,2,0,4000,0,CONDO,1033,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/saffron-condominium/105
Jersey City,138 Mallory Avenue,306,07304,2,2,0,3075,0,HOUSE,800,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/138-mallory-avenue-jersey_city/306
Journal Square,589 Pavonia Avenue,1713,07306,0,1,0,2718,0,UNKNOWN,426,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/589-pavonia-avenue-jersey_city/1713
Union City,512 11th Street,1L,07087,2,1,0,2319,0,MULTIFAMILY,900,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/512-11-street-union_city/1l
Bayonne,971 Broadway,501,07002,2,2,0,3610,0,UNKNOWN,1111,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/971-broadway-bayonne/501
Bergen/Lafayette,543 Martin Luther King Drive,48,07304,1,1,0,2200,0,UNKNOWN,0,f,f,,0.00,2026-01-01,2026-01-01,https://streeteasy.com/building/543-martin-luther-king-drive-jersey_city/48
Financial District,70 Pine Street,2003,10005,2,2,0,9065,0,RENTAL,1222,f,f,,0.00,2026-02-07,2026-01-01,https://streeteasy.com/building/70-pine-street/2003
Weeksville,1312 Lincoln Place,3E,11213,1,1,0,3075,2713,RENTAL,0,f,f,17,2.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1312-lincoln-place-brooklyn/3e
Prospect Lefferts Gardens,255 Clarkson Avenue,3G,11226,1,1,0,2800,2635,TWOFAMILY,0,f,f,17,1.00,2025-12-30,2026-01-01,https://streeteasy.com/building/255-clarkson-avenue-brooklyn/3g
Weeksville,1312 Lincoln Place,5E,11213,2,1,0,3150,2975,RENTAL,0,f,f,18,1.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1312-lincoln-place-brooklyn/5e
Bushwick,345 Eldert Street,111,11237,1,1,0,2995,0,RENTAL,0,f,f,,0.00,2025-12-30,2026-01-01,https://streeteasy.com/building/345-eldert-street-brooklyn/111
Williamsburg,128 Montrose Avenue,203,11206,2,2,0,4400,0,CONDO,0,f,f,,0.00,2026-03-01,2026-01-01,https://streeteasy.com/building/130-manhattan-avenue-brooklyn/203
Flatbush,160 Clarkson Avenue,5O,11226,1,1,0,3000,0,RENTAL,0,f,f,,0.00,2025-12-30,2026-01-01,https://streeteasy.com/building/160-clarkson-avenue-brooklyn/5o
Flatbush,160 Clarkson Avenue,2I,11226,1,1,0,2831,0,RENTAL,0,f,f,,0.00,2025-12-30,2026-01-01,https://streeteasy.com/building/160-clarkson-avenue-brooklyn/2i
Flatbush,210 Clarkson Avenue,508,11226,1,1,0,3000,0,RENTAL,700,f,f,,0.00,2025-12-30,2026-01-01,https://streeteasy.com/building/210-clarkson/508
Flatbush,210 Clarkson Avenue,703,11226,1,1,0,2899,0,RENTAL,0,f,f,,0.00,2025-12-30,2026-01-01,https://streeteasy.com/building/210-clarkson/703
Flatbush,158 Lott Street,220C,11226,2,2,0,3920,0,RENTAL,0,f,f,,0.00,2026-01-04,2026-01-01,https://streeteasy.com/building/bedford-square-158-lott-street-brooklyn/220c
Flatbush,2406 Newkirk Avenue,C6,11226,2,1,0,2050,0,RENTAL,0,f,f,,0.00,2026-01-07,2026-01-01,https://streeteasy.com/building/2406-newkirk-avenue-brooklyn/c6
Prospect Park South,1221 Church Avenue,10,11218,2,1,0,3495,3301,MIXED_USE,0,f,f,18,1.00,2026-01-05,2026-01-01,https://streeteasy.com/building/1221-church-avenue-brooklyn/10
East Flatbush,1655 Flatbush Avenue,A908,11210,0,1,0,1800,0,CO_OP,0,f,f,,0.00,2025-12-31,2026-01-01,https://streeteasy.com/building/1655-flatbush-avenue-brooklyn/a908
East Flatbush,1624 Brooklyn Avenue,2A,11210,2,1,0,2590,0,HOUSE,0,f,f,,0.00,2026-01-05,2026-01-01,https://streeteasy.com/building/1624-brooklyn-avenue-brooklyn/2a
Flatbush,158 Linden Boulevard,13,11226,1,1,0,2250,0,RENTAL,0,f,f,,0.00,2026-01-05,2026-01-01,https://streeteasy.com/building/158-linden-boulevard-brooklyn/13
Brooklyn Heights,68 Livingston Street,UNIT5D,11201,1,1,0,4695,0,RENTAL,0,f,f,,0.00,2026-01-15,2026-01-01,https://streeteasy.com/building/76-court-street-brooklyn/unit5d
Ditmas Park,614 Marlborough Road,B5,11226,1,1,0,2395,0,RENTAL,0,f,f,,0.00,2026-01-15,2026-01-01,https://streeteasy.com/building/614-marlborough-road-brooklyn/b5
