neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Yorkville,451 East 83rd Street,12D,10028,0,1,0,3400,0,RENTAL,0,f,t,,0.00,2025-05-31,2025-06-01,https://streeteasy.com/building/451-east-83-street-new_york/12d
East Village,236 East 5th Street,F5,10003,4,2,0,9495,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-01,https://streeteasy.com/building/236-east-5-street-new_york/f5
Hunters Point,43-10 Crescent Street,3105,11101,0,1,0,4114,3689,RENTAL,0,f,t,12,1.24,2025-06-05,2025-06-01,https://streeteasy.com/building/linc-lic/3105
Flatiron,1 Union Sq S,PH2H,10003,2,2,0,12987,0,RENTAL,0,f,t,,0.00,2025-07-21,2025-06-01,https://streeteasy.com/building/one-union-square/ph2h
West Chelsea,535 West 23rd Street,N06G,10011,1,1,0,6275,0,RENTAL,0,f,t,,0.00,2025-07-01,2025-06-01,https://streeteasy.com/building/the-tate/n06g
Weehawken,49 Hudson Place,2,07086,3,1,0,2750,0,HOUSE,1100,f,f,,0.00,2025-05-31,2025-06-01,https://streeteasy.com/building/49-hudson-place-weehawken/2
Homecrest,1773 East 12th Street,1G,11229,1,1,0,2000,0,RENTAL,0,f,f,,0.00,2025-05-31,2025-06-01,https://streeteasy.com/building/1773-east-12-street-brooklyn/1g
Upper West Side,304 West 92nd Street,3/B,10025,2,1,0,4400,0,RENTAL,0,f,f,,0.00,2025-06-05,2025-06-01,https://streeteasy.com/building/302-west-92-street-new_york/3b
Hell's Kitchen,416 West 52nd Street,604,10019,0,2,0,6500,0,CONDO,891,f,f,,0.00,2025-07-01,2025-06-01,https://streeteasy.com/building/416-west-52nd-street-new_york/604
Midtown South,42 West 33rd Street,37G,10001,0,1,0,4688,4297,RENTAL,0,f,t,12,1.00,2025-07-05,2025-06-01,https://streeteasy.com/building/solari-42-west-33-street-new_york/37g
Nolita,7 Spring Street,20,10012,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-06-04,2025-06-01,https://streeteasy.com/building/7-spring-street-new_york/20
