neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Bushwick,101 Suydam Street,202,11221,1,1,0,2850,0,RENTAL,0,f,f,,0.00,2025-05-01,2025-05-01,https://streeteasy.com/building/101-suydam-street-brooklyn/202
Greenpoint,1106 Lorimer Street,3,11222,2,1,0,3650,0,THREEFAMILY,0,f,f,,0.00,2025-05-15,2025-05-01,https://streeteasy.com/building/1106-lorimer-street-brooklyn/3
Midwood,1375 East 18th Street,43,11230,0,1,0,1450,0,RENTAL,0,f,f,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/1371-east-18-street-brooklyn/43
Newport,25 Park Lane South,3308,07310,2,2,0,6957,0,RENTAL,1149,f,t,,0.00,2025-07-05,2025-05-01,https://streeteasy.com/building/ellipse-at-newport/3308
Carnegie Hill,64 East 94th Street,3C,10128,2,2,0,9750,0,CO_OP,1100,f,f,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/64-east-94-street-new_york/rental/4724360
Newport,25 Park Lane South,3702,07310,1,1,0,4285,0,RENTAL,757,f,t,,0.00,2025-06-28,2025-05-01,https://streeteasy.com/building/ellipse-at-newport/3702
Bayonne,44 West 54th Street,1R,07002,2,1,0,1650,0,HOUSE,800,f,f,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/44-west-54-street-bayonne/1r
Williamsburg,252 South Third Street,1,11211,3,2,1,8300,0,THREEFAMILY,1550,f,f,,0.00,2025-06-01,2025-05-01,https://streeteasy.com/building/252-south-3-street-brooklyn/1
Williamsburg,250 South 3rd Street,2,11211,4,2,1,9200,0,THREEFAMILY,1600,f,f,,0.00,2025-06-01,2025-05-01,https://streeteasy.com/building/250-south-3-street-brooklyn/2
Hell's Kitchen,350 West 50th Street,27A,10019,0,1,0,4995,0,CONDO,0,f,t,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/two-worldwide-plaza/rental/4724354
Ridgewood,66-76 Fresh Pond Road,3R,11385,2,1,0,2800,0,MIXED_USE,1000,f,f,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/66_76-fresh-pond-road-ridgewood/3r
Kingsbridge,3054 Godwin Terrace,32,10463,3,1,0,3100,0,RENTAL,0,f,f,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/3054-godwin-terrace-bronx/32
Ridgewood,1815 Woodbine Street,1L,11385,1,1,1,3700,0,FOURFAMILY,0,f,f,,0.00,2025-06-01,2025-05-01,https://streeteasy.com/building/1815-woodbine-street-ridgewood/1l
Hunters Point,47-28 11th Street,6C,11101,2,2,0,5800,0,CONDO,1078,f,t,,0.00,2025-05-16,2025-05-01,https://streeteasy.com/building/the-corner/rental/4724363
East Village,103 East Second Street,5A,10009,1,1,0,3195,0,RENTAL,682,f,f,,0.00,2025-06-04,2025-05-01,https://streeteasy.com/building/103-east-2-street-new_york/5a
Ocean Hill,956 Hancock Street,1B,11233,1,1,0,2599,0,RENTAL,0,f,t,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/956-hancock-street-brooklyn/1b
Lenox Hill,300 East 64th Street,22B,10065,1,1,0,5000,0,CONDO,700,f,f,,0.00,2025-04-30,2025-05-01,https://streeteasy.com/building/300-east-64-street-manhattan/22b
