neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Murray Hill,225 East 39th Street,23M,10016,0,1,0,3884,0,RENTAL,468,f,f,,0.00,2025-12-12,2025-11-08,https://streeteasy.com/building/house39-225-east-39th-street-new_york/23m
Prospect Lefferts Gardens,1114 Nostrand Avenue,G2,11225,3,1,0,3600,0,RENTAL,0,f,f,,0.00,2025-11-08,2025-11-08,https://streeteasy.com/building/1114-nostrand-avenue-brooklyn/g2
Boerum Hill,225 Wyckoff Street,ONE FAMILY,11217,3,3,1,14000,0,TWOFAMILY,2150,f,f,,0.00,2025-12-01,2025-11-08,https://streeteasy.com/building/225-wyckoff-street-brooklyn/one-family
Hudson Yards,555 West 38th Street,2006,10018,0,1,0,4630,3969,RENTAL,0,f,f,14,2.00,2025-11-08,2025-11-08,https://streeteasy.com/building/lyra-555-west-38th-street-new_york/2006
West Village,110 Horatio Street,414,10014,0,1,0,5625,0,RENTAL,0,f,f,,0.00,2025-11-08,2025-11-08,https://streeteasy.com/building/110-horatio-street-new_york/414
Hudson Yards,555 West 38th Street,1001,10018,1,1,0,4855,4161,RENTAL,0,f,f,14,2.00,2024-10-25,2025-11-08,https://streeteasy.com/building/lyra-555-west-38th-street-new_york/1001
Hudson Yards,555 West 38th Street,1215,10018,0,1,0,3920,3360,RENTAL,0,f,f,14,2.00,2022-06-29,2025-11-08,https://streeteasy.com/building/lyra-555-west-38th-street-new_york/1215
Hudson Yards,555 West 38th Street,2003,10018,2,2,0,7725,6621,RENTAL,0,f,f,14,2.00,2025-09-17,2025-11-08,https://streeteasy.com/building/lyra-555-west-38th-street-new_york/2003
Hudson Yards,555 West 38th Street,4203,10018,2,2,0,8495,7281,RENTAL,0,f,f,14,2.00,2025-09-08,2025-11-08,https://streeteasy.com/building/lyra-555-west-38th-street-new_york/4203
Hudson Yards,555 West 38th Street,5104,10018,1,1,0,5370,4603,RENTAL,0,f,f,14,2.00,2023-03-02,2025-11-08,https://streeteasy.com/building/lyra-555-west-38th-street-new_york/5104
Central Harlem,131 West 131st Street,3,10027,2,1,1,6500,0,THREEFAMILY,2600,f,f,,0.00,2025-11-08,2025-11-08,https://streeteasy.com/building/131-west-131-street-new_york/3
Hoboken,1130 Grand Street,A610,07030,2,2,0,4326,0,RENTAL,1000,f,f,,0.00,2026-01-06,2025-11-08,https://streeteasy.com/building/the-rivington/a610
Hudson Yards,431 West 37th Street,9D,10018,1,1,0,4405,0,RENTAL,726,f,f,,0.00,2025-12-12,2025-11-08,https://streeteasy.com/building/mantena-431-west-37th-street-new_york/9d
NoMad,50 East 28th Street,17K,10016,2,2,0,10340,0,RENTAL,1294,f,f,,0.00,2025-12-26,2025-11-08,https://streeteasy.com/building/prism-at-park-ave-south/17k
Lincoln Square,124 West 60th Street,11K,10023,1,1,0,4950,0,RENTAL,0,f,f,,0.00,2025-11-08,2025-11-08,https://streeteasy.com/building/south-park-tower/11k
Williamsburg,1 North 4th Place,18D,11249,2,2,0,6839,0,RENTAL,0,f,f,,0.00,2025-12-07,2025-11-08,https://streeteasy.com/building/1n4th-1-north-4th-place-brooklyn/18d
