neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Williamsburg,535 Union Avenue,2T,11211,1,1,0,5000,0,RENTAL,0,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/535-union-avenue-brooklyn/2t
Bushwick,177 Irving Avenue,3L,11237,1,1,0,2800,0,MIXED_USE,0,f,f,,0.00,2025-09-29,2025-10-01,https://streeteasy.com/building/177-irving-avenue-brooklyn/3l
Gramercy Park,222 East 21st Street,1C,10010,2,1,1,4350,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/222-east-21-street-new_york/1c
East Harlem,203 East 121st Street,406,10035,1,1,0,2895,0,RENTAL,735,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/cl-tower/406
Crown Heights,1167 Dean Street,2B,11216,1,1,0,2800,0,TWOFAMILY,0,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/1167-dean-street-brooklyn/2b
Financial District,20 Exchange Place,3905,10005,1,1,0,5245,4662,RENTAL,660,f,f,18,2.00,2025-10-01,2025-10-01,https://streeteasy.com/building/twenty-exchange/3905
Financial District,20 Exchange Place,505,10005,0,1,0,3325,3140,RENTAL,475,f,f,18,1.00,2025-10-01,2025-10-01,https://streeteasy.com/building/twenty-exchange/505
Brownsville,348 Legion Street,1,11212,2,1,0,3000,0,FOURFAMILY,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/348-legion-street-brooklyn/1
Astoria,26-26 30th Street,3B,11102,1,1,0,2799,0,RENTAL,700,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/26_26-30-street-astoria/3b
Brownsville,348 Legion Street,4,11212,3,1,0,3500,0,FOURFAMILY,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/348-legion-street-brooklyn/4
Yorkville,1503 Third Avenue,3D,10028,0,1,0,2400,0,RENTAL,0,f,f,,0.00,2025-12-03,2025-10-01,https://streeteasy.com/building/1503-3-avenue-new_york/3d
Downtown Brooklyn,10 Nevins Street,9L,11217,1,1,0,4750,0,CONDO,0,t,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/the-brooklyn-grove/9l
Upper West Side,61 West 89th Street,2A,10024,0,1,0,2600,0,CO_OP,350,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/61-west-89-street-new_york/2a
North Bergen,137-139 76th Street,2,07047,2,1,0,2200,0,UNKNOWN,1000,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/137_139-76-street-north_bergen/2
Flatbush,639 East 28th Street,6C,11210,2,1,0,3195,0,TWOFAMILY,0,f,f,,0.00,2025-11-30,2025-10-01,https://streeteasy.com/building/639-east-28-street-brooklyn/6c
Forest Hills,108-24 71st Avenue,2C,11375,0,1,0,1835,0,RENTAL,0,f,f,,0.00,2025-09-30,2025-10-01,https://streeteasy.com/building/108_24-71-avenue-forest_hills/2c
Central Harlem,27 East 126th Street,6,10035,2,1,0,3200,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-01,https://streeteasy.com/building/27-east-126-street-new_york/6
NoMad,111 East 26th Street,A92,10010,1,1,0,3800,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/111-east-26-street-new_york/a92
Murray Hill,146 East 35th Street,1W,10016,0,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-10-03,2025-10-01,https://streeteasy.com/building/146-east-35-street-new_york/1w
South Harlem,98 Morningside Avenue,2,10027,1,1,0,3675,3500,RENTAL,0,f,f,20,0.95,2025-09-30,2025-10-01,https://streeteasy.com/building/98-morningside-avenue-new_york/2
Gramercy Park,145 East 17th Street,CZ,10003,0,1,0,2900,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/188-3-avenue-new_york/cz
Hudson Yards,315 West 33rd Street,25I,10001,2,2,0,7500,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/the-olivia/25i
Manhattan Valley,121 West 104th Street,1U,10025,2,2,0,3750,0,RENTAL,0,f,f,,0.00,2025-10-03,2025-10-01,https://streeteasy.com/building/121-west-104-street-new_york/1u
Yorkville,509 East 87th Street,PH,10128,4,2,0,6900,0,RENTAL,0,t,f,,0.00,2025-10-15,2025-10-01,https://streeteasy.com/building/the-hive/ph
Upper West Side,251 West 81st Street,2S,10024,2,1,0,6300,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-01,https://streeteasy.com/building/251-west-81-street-new_york/2s
