neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Jamaica,153-30 89th Avenue,1018,11432,2,2,0,3395,3112,RENTAL,933,f,f,12,1.00,2025-02-25,2025-09-01,https://streeteasy.com/building/moda-153_30-89th-avenue-jamaica/1018
Sutton Place,234 East 58th Street,24,10022,2,1,0,4100,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/234-east-58-street-new_york/rental/4845791
Bushwick,751 Hart Street,1D,11237,1,1,0,2650,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/751-hart-street-brooklyn/1d
Bushwick,1567 De Kalb Avenue,2L,11237,3,1,1,3700,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/1567-de-kalb-avenue-brooklyn/2l
Weehawken,5 Port Imperial Boulevard,0927,07086,2,2,0,5690,0,RENTAL,1038,f,f,,0.00,2025-07-14,2025-09-01,https://streeteasy.com/building/the-declan/0927
East Village,220 Avenue A,5C,10009,2,1,0,4700,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/220-avenue-a-new_york/5c
Flatbush,200 Linden Boulevard,6D,11226,3,1,0,3500,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/200-linden-boulevard-brooklyn/6d
West Village,51 Leroy Street,5D,10014,0,1,0,4295,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/51-leroy-street-new_york/rental/4845802
Windsor Terrace,31 Ocean Parkway,5,11218,2,1,0,3480,0,RENTAL,0,f,f,,0.00,2025-08-30,2025-09-01,https://streeteasy.com/building/31-ocean-parkway-brooklyn/5
Windsor Terrace,31 Ocean Parkway,1,11218,1,1,0,2990,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/31-ocean-parkway-brooklyn/1
Bay Ridge,414 78th Street,2FL,11209,3,1,0,3000,0,MIXED_USE,700,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/414-78-street-brooklyn/2fl
West Village,52 Barrow Street,1C,10014,1,1,0,5995,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/52-barrow-street-new_york/rental/4845808
Ocean Hill,327 Sumpter Street,1,11233,3,2,0,3999,0,FOURFAMILY,1500,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/327-sumpter-street-brooklyn/1
Midwood,1122 Chestnut Avenue,202,11230,2,1,1,3060,0,HYBRID,1000,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/1122-chestnut-avenue-brooklyn/202
East Village,5 Saint Mark's Place,11,10003,1,1,0,3595,0,RENTAL,0,f,f,,0.00,2025-09-05,2025-09-01,https://streeteasy.com/building/5-st-marks-place-new_york/11
Gravesend,2275 West Street,2G,11223,1,1,0,2349,0,THREEFAMILY,750,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/2275-west-street-brooklyn/2g
Greenwich Village,174 Thompson Street,3FN,10012,2,1,0,4950,0,RENTAL,0,f,f,,0.00,2025-09-04,2025-09-01,https://streeteasy.com/building/174-thompson-street-new_york/3fn
West Village,110 Bedford Street,3D,10014,2,2,0,7995,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/110-bedford-street-new_york/rental/4845811
Elmhurst,83-45 Vietor Avenue,5D,11373,0,1,0,2100,0,CO_OP,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/83_45-vietor-avenue-elmhurst/5d
Flatbush,107 Kenilworth Place,1,11210,2,1,0,3500,0,TWOFAMILY,1000,f,f,,0.00,2025-09-06,2025-09-01,https://streeteasy.com/building/107-kenilworth-place-brooklyn/1
Ocean Hill,542 Bainbridge Street,1R,11233,2,1,0,3295,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/542-bainbridge-street-brooklyn/1r
Carroll Gardens,169 Sackett Street,ONE,11231,2,1,0,4100,0,RENTAL,850,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/169-sackett-street-brooklyn/one
West Village,324 West 14th Street,3B,10014,2,1,0,6800,0,RENTAL,0,f,f,,0.00,2025-10-05,2025-09-01,https://streeteasy.com/building/324-west-14-street-new_york/3b
Flatiron,96 Fifth Avenue,9G,10011,0,1,0,5200,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/96-5-avenue-new_york/9g
Bedford-Stuyvesant,444 Willoughby Avenue,A2,11206,6,2,0,5499,0,TWOFAMILY,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/444-willoughby-avenue-brooklyn/a2
Prospect Lefferts Gardens,227 Clarkson Avenue,2A,11226,1,1,0,3300,2919,RENTAL,0,f,f,13,1.50,2025-08-31,2025-09-01,https://streeteasy.com/building/227-clarkson-avenue-brooklyn/2a
Prospect Lefferts Gardens,227 Clarkson Avenue,5C,11226,2,1,0,3600,3323,RENTAL,0,f,f,13,1.00,2025-08-31,2025-09-01,https://streeteasy.com/building/227-clarkson-avenue-brooklyn/5c
Prospect Lefferts Gardens,227 Clarkson Avenue,PHA,11226,2,1,0,4750,4202,RENTAL,0,f,f,13,1.50,2025-08-31,2025-09-01,https://streeteasy.com/building/227-clarkson-avenue-brooklyn/pha
Bedford-Stuyvesant,119 Taaffe Place,3A,11205,1,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/119-taaffe-place-brooklyn/3a
Ridgewood,1823 Woodbine Street,2C,11385,1,1,0,2975,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/1823-woodbine-street-ridgewood/2c
Stuyvesant Heights,374 Kosciusko Street,320,11221,2,1,0,3395,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/374-kosciuszko-street-brooklyn/320
Flatbush,2807 Snyder Avenue,6A,11226,2,1,0,3199,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/2807-snyder-avenue-brooklyn/6a
Crown Heights,1825 Eastern Parkway,3R,11233,2,2,0,3000,0,MIXED_USE,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/2272-pacific-street-brooklyn/3r
Flatbush,219 Lenox Road,2J,11226,0,1,0,2995,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/219-lenox-road-brooklyn/2j
Prospect Lefferts Gardens,1193 Nostrand Avenue,2B,11225,2,1,0,3099,0,MIXED_USE,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/1193-nostrand-avenue-brooklyn/2b
Ditmas Park,1111 Foster Avenue,490,11230,1,1,0,2995,0,RENTAL,0,f,f,,0.00,2025-08-31,2025-09-01,https://streeteasy.com/building/1111-foster-ave/490
Flatbush,1640 Nostrand Avenue,3C,11226,1,1,0,2450,0,MIXED_USE,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/1640-nostrand-avenue-brooklyn/3c
Midwood,1802 Ocean Avenue,4M,11230,0,1,0,2250,0,TWOFAMILY,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/1802-ocean-avenue-brooklyn/4m
Weeksville,1608 Prospect Place,2L,11233,3,1,0,3100,0,FOURFAMILY,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/1608-prospect-place-brooklyn/2l
East Village,754 East 6th Street,2C,10009,2,2,0,4595,0,CONDO,0,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/754-east-6-street-new_york/2c
Bushwick,634 Kosciusko Street,1A,11221,1,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/634-kosciuszko-street-brooklyn/1a
Ridgewood,2012 Greene Avenue,1R,11385,1,1,0,2350,0,FOURFAMILY,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/2012-greene-avenue-ridgewood/1r
Brownsville,450 Rockaway Parkway,UNIT F,11212,0,1,0,1750,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/450-rockaway-parkway-brooklyn/unit-f
Forest Hills,101-11 75th Road,A46,11375,2,1,0,3225,0,HOUSE,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/101_11-75-road-forest_hills/a46
Sunnyside,43-30 48th Street,16,11104,0,1,0,2045,0,CO_OP,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/43_30-48-street-sunnyside/16
Brownsville,1115 Willmohr Street,1C,11212,0,1,0,1850,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/1115-willmohr-street-brooklyn/1c
Upper West Side,226 West 97th Street,8E,10025,1,1,0,4340,0,RENTAL,600,t,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/226-west-97-street-new_york/8e
Yorkville,88 East End Avenue,5B,10028,2,1,0,4700,0,RENTAL,700,t,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/88-east-end-avenue-new_york/5b
Prospect Lefferts Gardens,361 Maple Street,4B,11225,1,1,0,2500,0,RENTAL,800,f,f,,0.00,2025-08-28,2025-09-01,https://streeteasy.com/building/361-maple-street-brooklyn/4b
Upper West Side,808 Columbus Avenue,20K,10025,1,1,0,4944,0,RENTAL,594,f,f,,0.00,2025-10-31,2025-09-01,https://streeteasy.com/building/808-columbus-avenue-new_york/20k
Upper West Side,795 Columbus Avenue,06F,10025,1,1,0,4828,0,RENTAL,632,f,f,,0.00,2025-10-31,2025-09-01,https://streeteasy.com/building/795-columbus-avenue-new_york/06f
Financial District,95 Wall Street,1504,10005,0,1,0,4434,0,RENTAL,818,f,f,,0.00,2025-10-31,2025-09-01,https://streeteasy.com/building/95-wall-street-new_york/1504
West Village,259 Bleecker Street,16,10014,2,1,0,6100,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/259-bleecker-street-new_york/16
Two Bridges,197 Madison Street,20C,10002,2,1,0,3400,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/197-madison-street-new_york/20c
Two Bridges,197 Madison Street,19C,10002,2,1,0,3700,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/197-madison-street-new_york/19c
Briarwood,140-55 Burden Crescent,5F,11435,1,1,0,1995,0,CO_OP,725,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/140_55-burden-crescent-jamaica/5f
Briarwood,139-05 85th Drive,4B,11435,0,1,0,1700,0,CO_OP,400,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/139_05-85-drive-jamaica/4b
Flatbush,142 Lenox Road,8D,11226,2,1,0,3400,0,TWOFAMILY,0,f,f,,0.00,2025-09-19,2025-09-01,https://streeteasy.com/building/142-lenox-road-brooklyn/8d
Flatbush,100 Lenox Road,3D,11226,2,1,0,3499,0,RENTAL,0,f,f,,0.00,2025-09-16,2025-09-01,https://streeteasy.com/building/100-lenox-road-brooklyn/3d
Upper West Side,224 West 82nd Street,2R,10024,1,1,0,2710,0,RENTAL,425,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/224-west-82-street-new_york/2r
East Village,420 East 9th Street,1,10009,2,1,1,5495,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/420-east-9-street-new_york/1
Gramercy Park,337 East 18th Street,1E,10003,4,1,1,9995,0,TOWNHOUSE,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/337-east-18-street-new_york/1e
Manhattan Valley,17 West 103rd Street,5B,10025,2,1,0,4395,0,RENTAL,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/17-west-103-street-new_york/5b
Ridgewood,1671 Summerfield Street,4A,11385,1,1,0,3200,0,CONDO,0,f,f,,0.00,2025-08-30,2025-09-01,https://streeteasy.com/building/1671-summerfield-street-ridgewood/4a
Rego Park,63-84 Saunders Street,4K,11374,1,1,0,2600,0,CO_OP,850,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/63_84-saunders-street-rego_park/4k
Astoria,26-80 30th Street,1G,11102,1,1,0,2698,0,RENTAL,775,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/26_80-30-street-astoria/1g
Astoria,27-16 21st Street,3H,11102,2,1,0,3880,3557,RENTAL,0,f,f,12,1.00,2025-08-31,2025-09-01,https://streeteasy.com/building/astoria-21/3h
Williamsburg,383 South 3rd Street,38,11211,1,1,0,3200,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-09-01,https://streeteasy.com/building/383-south-3-street-brooklyn/38
Hoboken,408 Jackson Street,508C,07030,3,2,0,5500,0,UNKNOWN,1500,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/408-jackson-street-hoboken/508c
Bayonne,548 Avenue C,8,07002,2,1,0,1695,0,UNKNOWN,0,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/548-avenue-c-bayonne/8
Cliffside Park,114 Pine Street,2,07010,5,3,0,9500,0,HOUSE,4130,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/114-pine-street-cliffside_park/2
Bayonne,161 Goldsborough Drive,321,07002,2,2,0,3044,0,UNKNOWN,1173,f,f,,0.00,2025-09-01,2025-09-01,https://streeteasy.com/building/161-goldsborough-drive-bayonne/321
